"BehaviorSpace results (NetLogo 6.2.2)"
"bee.nlogo"
"experiment1"
"03/09/2023 14:31:24:410 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","food","[step]","count bees"
"1","1150","16424","474"
"14","1150","16424","0"
"5","1150","16424","0"
"12","1150","16424","0"
"8","1150","16424","0"
"13","1150","16424","0"
"7","1150","16424","0"
"4","1150","16424","90"
"15","1150","16424","111"
"3","1150","16424","176"
"6","1150","16424","206"
"11","1150","16424","107"
"9","1150","16424","39"
"10","1150","16424","136"
"2","1150","16424","369"
"16","1150","16424","243"
"19","1150","16424","0"
"18","1150","16424","0"
"20","1150","16424","0"
"31","1150","16424","0"
"22","1150","16424","0"
"21","1150","16424","0"
"28","1150","16424","0"
"17","1150","16424","56"
"24","1150","16424","0"
"34","1150","16424","0"
"29","1150","16424","134"
"23","1150","16424","209"
"27","1150","16424","238"
"36","1150","16424","0"
"25","1150","16424","116"
"30","1150","16424","222"
"26","1150","16424","137"
"37","1150","16424","0"
"33","1150","16424","127"
"32","1150","16424","260"
"39","1150","16424","0"
"35","1150","16424","173"
"41","1150","16424","0"
"45","1150","16424","0"
"47","1150","16424","0"
"38","1150","16424","201"
"40","1150","16424","57"
"52","1150","16424","0"
"51","1150","16424","0"
"42","1150","16424","311"
"43","1150","16424","110"
"48","1150","16424","0"
"44","1150","16424","148"
"46","1150","16424","186"
"49","1150","16424","365"
"50","1150","16424","0"
"58","1150","16424","0"
"53","1150","16424","150"
"54","1150","16424","119"
"61","1150","16424","0"
"62","1150","16424","0"
"64","1150","16424","0"
"56","1150","16424","148"
"65","1150","16424","0"
"55","1150","16424","320"
"57","1150","16424","158"
"59","1150","16424","173"
"63","1150","16424","0"
"69","1150","16424","0"
"60","1150","16424","94"
"66","1150","16424","265"
"70","1150","16424","0"
"67","1150","16424","23"
"68","1150","16424","171"
"80","1150","16424","0"
"71","1150","16424","0"
"72","1150","16424","129"
"75","1150","16424","0"
"73","1150","16424","25"
"74","1150","16424","93"
"76","1150","16424","399"
"77","1150","16424","125"
"78","1150","16424","133"
"84","1150","16424","0"
"79","1150","16424","277"
"81","1150","16424","205"
"82","1150","16424","0"
"83","1150","16424","198"
"89","1150","16424","0"
"91","1150","16424","0"
"87","1150","16424","0"
"90","1150","16424","0"
"86","1150","16424","174"
"85","1150","16424","262"
"94","1150","16424","0"
"97","1150","16424","0"
"88","1150","16424","116"
"92","1150","16424","53"
"93","1150","16424","159"
"100","1150","16424","0"
"95","1150","16424","114"
"96","1150","16424","91"
"98","1150","16424","103"
"99","1150","16424","172"
