,AVG
0,3
2,1
4,3
6,2
8,2
10,-1
12,2
14,-1
16,1
18,1
20,4
22,1
24,1
26,5
28,4
30,4
32,4
34,3
36,2
38,1
40,4
42,3
44,-2
46,-2
48,1
50,0
52,2
54,0
56,3
58,1
60,-2
62,-1
64,-1
66,3
68,2
70,2
72,2
74,1
76,0
78,-4
80,-1
82,-7
84,2
86,2
88,2
90,6
92,6
94,6
96,6
98,5
100,7
102,7
104,6
106,6
108,8
110,6
112,5
114,7
116,2
118,6
120,4
122,3
124,3
126,2
128,0
130,5
132,6
134,6
136,5
138,6
140,3
142,2
144,4
146,4
148,6
150,7
152,8
154,7
156,6
158,6
160,6
162,8
164,4
166,6
168,7
170,2
172,6
174,10
176,11
178,5
180,3
182,5
184,5
186,5
188,-1
190,0
192,0
194,4
196,1
198,-1
200,-1
202,1
204,2
206,4
208,5
210,7
212,6
214,7
216,8
218,8
220,3
222,3
224,8
226,5
228,5
230,8
232,7
234,4
236,5
238,3
240,3
242,4
244,3
246,6
248,4
250,4
252,4
254,3
256,7
258,9
260,9
262,6
264,8
266,7
268,7
270,6
272,8
274,7
276,6
278,8
280,7
282,5
284,5
286,8
288,9
289,
291,8
293,7
295,8
297,7
299,10
301,11
303,9
305,10
307,13
309,11
311,11
313,11
315,15
317,12
319,15
321,15
323,11
325,15
327,12
329,9
331,13
333,10
335,9
337,11
339,12
341,8
343,8
345,13
347,13
349,10
351,8
353,10
355,12
357,11
359,10
361,10
363,12
365,13
367,13
369,12
371,13
373,14
375,14
377,13
379,12
381,13
383,13
385,12
387,13
389,14
391,18
393,18
395,13
397,13
399,13
401,13
403,12
405,12
407,12
409,14
411,13
413,15
415,13
417,13
419,13
421,11
423,10
425,10
427,10
429,12
431,14
433,14
435,14
437,14
439,13
441,13
443,10
445,11
447,14
449,14
451,12
453,10
455,13
457,13
459,11
461,11
463,14
465,15
467,14
469,13
471,14
473,12
475,11
477,10
479,12
481,11
483,12
485,11
487,11
489,11
491,8
493,14
495,15
497,17
499,15
501,14
503,14
505,14
507,10
509,12
511,13
513,13
515,12
517,14
519,12
521,13
523,10
525,12
527,14
529,10
531,13
533,11
535,15
537,11
539,10
541,8
543,8
545,9
547,10
549,9
551,10
553,7
555,7
557,12
559,13
561,15
563,9
565,8
567,5
569,11
